NAME20,total_buildings,buildings_w_height_measurement,mean_height,median_height,sd_height,min_height,max_height
"Angola, IN",7378,6283,4.545090928457923,4.415592193603516,1.1860305723297513,2.5005292892456055,15.669448852539063
"Ann Arbor, MI",50708,50567,5.251698478500196,5.225648880004883,1.951960844207996,2.606202906463295e-4,36.12925720214844
"Anna, IL",3340,2765,4.171061701196874,3.9322123527526855,1.2291063006010345,2.5012283325195313,17.10503578186035
"Antigo, WI",5229,4385,4.089396214131755,3.934850454330444,1.1497646390951661,2.505795955657959,28.068511962890625
"Aransas Pass--Port Aransas--Ingleside, TX",14636,14490,3.996356487257282,3.970778703689575,1.9009931043549313,5.665722419507802e-4,20.52712059020996
"Arcata, CA",6657,5841,4.4355415410935075,4.341376304626465,1.0891213631998686,2.5012946128845215,22.50533103942871
"Ardmore, OK",12107,10351,4.113916066220136,3.727503776550293,1.5291543362295323,2.50046443939209,24.25848388671875
"Arkadelphia, AR",3496,3138,4.8669282392455635,4.33894944190979,1.9666860009806952,2.5072107315063477,19.310562133789063
"Arkansas City, KS",6665,5520,4.371028249289679,4.134186744689941,1.2190819305432732,2.502023935317993,14.072830200195313
"Arvin, CA",1681,1663,3.5002231153973695,3.671579360961914,1.4782432158789323,0.0035665296018123627,17.482168197631836
"Ashland, OH",9193,7464,4.139586091520702,3.959006190299988,1.1819700181797768,2.501044750213623,18.957706451416016
"Ashland, WI",4605,3894,4.322950635558835,4.243882417678833,1.0330391475882776,2.503091096878052,13.536855697631836
"Ashtabula, OH",14077,9560,4.584238251981376,4.1135876178741455,1.6939830209158477,2.6474592685699463,25.932966232299805
"Ashville, OH",3068,2874,3.3858165418737167,3.5362859964370728,1.4002452337091709,2.503128780517727e-4,9.81028938293457
"Aspen, CO",2975,2841,5.1252980330425935,5.145215034484863,1.189832097209394,2.5055227279663086,11.736184120178224
"Astoria, OR",13700,13672,4.638091577682644,4.696204900741577,1.3813123457263483,0.004079634323716164,25.326416015625
"Atchison, KS",5169,4403,4.6206149450085965,4.352973937988281,1.6532381290529847,2.5047740936279297,31.2914981842041
"Athens, OH",6503,6493,4.364431281490305,4.3403754234313965,1.5569933163012841,0.014444987289607523,14.774996757507324
"Athens, TX",5313,5295,3.9449672999736727,3.6826348304748535,1.7906704869995205,5.213764379732311e-4,16.45687484741211
"Athol, MA",5654,4792,4.470032208003664,4.277743816375732,1.3115119402385773,2.500767946243286,15.18075466156006
"Atlanta, TX",3147,2424,4.161599620734111,3.6950944662094116,1.6278944597464573,2.5006282329559326,19.735239028930664
"Atlantic City--Ocean City--Villas, NJ",14716,11381,4.9465221943497895,4.898809432983398,1.3222471685212351,3,26.219873428344727
"Atlantic, IA",3925,3456,4.422294412705082,4.290052652359009,1.144715532541698,2.5058465003967285,16.07177734375
"Atoka, TN",693,600,4.493172439336777,4.332391023635864,1.2883202047355917,2.507472038269043,12.93026351928711
"Au Gres, MI",2835,2334,4.681398980619567,4.442736387252808,1.4374277387630567,2.501534938812256,12.309982299804688
"Auburn, CA",13449,12636,4.848551574378649,4.811356067657471,1.2342410721453692,1,14.76333999633789
"Auburn, IN",10012,8186,4.246228769883939,4.148400545120239,1.0687903900381996,2.5005531311035156,20.919696807861328
"Auburn, NY",13611,11508,4.202295259402616,4.090837240219116,1.111827913968289,2.500615358352661,14.994674682617188
"Augusta, KS",4269,3859,4.4129570270023315,4.295574188232422,1.1044034824911495,2.5002005100250244,11.874921798706056
"Augusta, ME",10927,9799,5.098345434876142,4.889001846313477,1.570499004189273,2.5002522468566895,20.81930923461914
