total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city
5621,5599,0.9960861056751468,0.022938285022974014,1.347359621524811,4.040255786398278,7.072495174407958,10.558607521057116,21.62316131591797,"South Haven, MI_buildings"
2746,2218,0.8077203204661325,3.003831386566162,3.211129760742187,5.279429484209142,9.989494323730474,15.355488071441648,21.62509536743164,"South Hill, VA_buildings"
14625,12628,0.8634529914529915,2.502201557159424,3.023506760597229,4.857570979842137,7.122746849060058,9.376911735534666,19.76491355895996,"South Lake Tahoe, CA--NV_buildings"
59743,54573,0.9134626650821017,0.0017863522516563537,2.995673894882202,4.918237029360213,7.155324363708495,9.077505836486814,18.98341941833496,"South Lyon--Hamburg--Genoa, MI_buildings"
2235,1926,0.8617449664429531,2.5008811950683594,2.863276779651642,4.716193268108467,6.961545944213867,8.699621677398682,15.537616729736328,"South Paris, ME_buildings"
2806,2301,0.8200285103349965,2.502897024154663,2.728017091751098,4.304011856872379,6.855601787567139,9.36298370361328,26.798494338989254,"South Pittsburg--Bridgeport, TN--AL_buildings"
6273,5647,0.9002072373664913,2.5023934841156006,3.0084253311157227,5.013572652888378,7.545651769638061,9.736503410339356,16.981271743774414,"Southbridge Town, MA_buildings"
2590,2207,0.8521235521235522,2.5061631202697754,2.9046096563339234,4.532321185184163,6.816954040527343,8.873719081878665,12.04201889038086,"Sparta, MI_buildings"
3414,2794,0.8183948447568834,2.5012717247009277,2.6817145466804506,4.101541106753803,6.2625492095947255,9.529016017913852,22.690032958984375,"Sparta, TN_buildings"
5178,5128,0.9903437620702974,6.387735484167933e-4,1.4449806332588198,3.635307412958491,5.971794152259826,8.007146182060236,22.100690841674805,"Sparta, WI_buildings"
86773,72832,0.8393394258582739,2.500014066696167,2.937987911701202,4.835723911449706,7.434198689460754,10.028924541473398,28.300413131713867,"Spartanburg, SC_buildings"
5780,5580,0.9653979238754326,1.3408419908955693e-4,0.9856280416250228,3.6465025557448656,5.570835542678833,6.681849141120912,17.239755630493164,"Spearfish, SD_buildings"
6083,5375,0.8836100608252507,2.500236749649048,2.839267086982727,4.59811049501286,7.019534540176392,8.985293426513676,30.259490966796875,"Spencer, IA_buildings"
