NAME20,INTPTLAT20,INTPTLON20,Area
"Winterset, IA","+41.3354755","-094.0184459",5865489.379999999888241
"Delavan, WI","+42.6165123","-088.6397224",30693203.791999999433756
"Barre--Montpelier, VT","+44.2134895","-072.5283080",37661828.909000001847744
"Whitewater, WI","+42.8349152","-088.7357087",12373817.252000000327826
"Dunkirk--Fredonia, NY","+42.4630705","-079.3290277",33148568.583000000566244
"Monroe, WI","+42.6000611","-089.6444854",11327882.569000000134110
"Fort Atkinson, WI","+42.9183371","-088.8436864",18167713.936999998986721
"Lake Mills, WI","+43.0783248","-088.9044303",10583674.697000000625849
"Dyersburg, TN","+36.0456631","-089.3832250",33834612.112999998033047
"Aransas Pass--Port Aransas--Ingleside, TX","+27.9010760","-097.1536233",64378698.233000002801418
"Calumet, MI","+47.2413582","-088.4492280",6470031.725999999791384
"Spicer--New London, MN","+45.2515108","-094.9550373",15876259.107000000774860
"Higgins Lake, MI","+44.4282300","-084.7097162",11728022.875000000000000
"Eureka, IL","+40.7139884","-089.2749491",6656360.781999999657273
"Lima, OH","+40.7346957","-084.1283991",129807503.546000003814697
"Victoria, TX","+28.8340133","-096.9746065",86938357.487000003457069
"Jamestown, NY","+42.1113932","-079.2140852",68733173.872999995946884
"Hillsboro, IL","+39.1535640","-089.4847663",10208832.827999999746680
"Henderson, TN","+35.4462769","-088.6513245",14031215.035000000149012
"Monticello, MN","+45.2941027","-093.7862937",24125926.760999999940395
"Stoughton, WI","+42.9289547","-089.2362492",17669442.019999999552965
"North Windham, ME","+43.8328904","-070.4334577",36764069.869999997317791
"Boothbay Harbor, ME","+43.8354841","-069.6221629",39906021.938000001013279
"Uniontown, PA","+39.8944686","-079.7165552",69852627.300999999046326
"Wapakoneta, OH","+40.5701287","-084.1968388",14499639.482999999076128
"Washington Court House, OH","+39.5333903","-083.4321821",19180758.500000000000000
"Findlay, OH","+41.0497319","-083.6397018",66800034.134999997913837
"Nelsonville, OH","+39.4601718","-082.2213677",8080239.476000000722706
"Logan, OH","+39.5365797","-082.4033161",11417303.299000000581145
"Oxford, OH","+39.5063765","-084.7510710",18733614.763000000268221
"Brainerd, MN","+46.3613079","-094.2140630",44406516.962999999523163
"Claremore, OK","+36.2814681","-095.6354732",39961293.670000001788139
"Vineyard Haven--Edgartown--Oak Bluffs, MA","+41.4229575","-070.5744419",46457201.490999996662140
"Bemidji, MN","+47.4845204","-094.8942295",40196221.347999997437000
"Devils Lake, ND","+48.1125911","-098.8711157",13151157.010999998077750
"South Paris, ME","+44.2110501","-070.5211123",10742200.905999997630715
"Sullivan--Sylvan Beach, NY","+43.1611690","-075.7678288",10085386.221999999135733
"Au Gres, MI","+44.0433923","-083.6895492",10433034.823000000789762
"Frankfort, MI","+44.6376098","-086.2277588",11106800.189999999478459
