"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","ndvi_estimate","ndvi_std_error","ndvi_p_value","weight","weight_normalized"
"South Lake Tahoe, CA--NV","Model4",2223.29617437733,0.335683283980811,0.410939697307359,NA,NA,NA,NA,NA,NA,-0.0483060923293525,0.504721231221684,0.923798476077364,0.085888446607708,0.0270894973486162
"South Lake Tahoe, CA--NV","Model5",2224.33872407055,0.335213224765409,0.410529517709226,NA,NA,NA,-0.0665942820514924,0.0505461058293576,0.188402514012736,-0.0302258164647689,0.500029878933617,0.951828037766487,0.050997391031481,0.01608474415009
"South Lake Tahoe, CA--NV","Model6",2218.6379491798,0.339734683131238,0.412700368013884,-2.37916818061102,0.626470283229623,0.000167804408697509,NA,NA,NA,-0.47018264074043,0.47133077184863,0.319071422793163,0.881973420923847,0.278177305462204
"South Lake Tahoe, CA--NV","Model7",2219.8263003615,0.338851717725418,0.413510721492513,-2.30595458977942,0.645869939308562,0.000398344596973556,-0.0266626740073963,0.0485834238002447,0.583436884964504,-0.453948716955943,0.47570738874091,0.340507970377607,0.486864733410888,0.153558731421804
"South Lyon--Hamburg--Genoa, MI","Model1",22612.8726131262,0.4798946390825,0.374939726111399,-0.316984178112104,0.0804601656051042,8.31682662237669e-05,NA,NA,NA,NA,NA,NA,3.05211932263599e-05,1.84221399941067e-05
"South Lyon--Hamburg--Genoa, MI","Model2",22614.7237836834,0.479692644587096,0.374960421636586,-0.323583599533543,0.0888155761542601,0.000272981887011326,-0.00361209640660961,0.0217490144873114,0.868102698125836,NA,NA,NA,1.20955307347963e-05,7.30068313014029e-06
"South Lyon--Hamburg--Genoa, MI","Model3",22624.1125650977,0.479330461978319,0.373032317132566,NA,NA,NA,0.0321522149219819,0.0196763300322559,0.102335596815964,NA,NA,NA,1.10631028352427e-07,6.67752494761642e-08
"South Lyon--Hamburg--Genoa, MI","Model4",22600.6150641956,0.483938777179329,0.377057351025838,NA,NA,NA,NA,NA,NA,-0.243805594165257,0.0488517010268807,6.30332671816179e-07,0.0140053652524907,0.00845343094670196
"South Lyon--Hamburg--Genoa, MI","Model5",22602.6710554659,0.483862387085158,0.37703170538464,NA,NA,NA,0.00430581070526263,0.0204344501770362,0.833123046168492,-0.240788572026536,0.0505488154568221,1.97870675213515e-06,0.00501004478083873,0.00302398879509214
"South Lyon--Hamburg--Genoa, MI","Model6",22592.9781815362,0.484766360562214,0.378642259990975,-0.278204940831029,0.0812220277225938,0.000621206429781688,NA,NA,NA,-0.225607843122589,0.0491612205943091,4.60430177761548e-06,0.637708841699007,0.384911607817236
"South Lyon--Hamburg--Genoa, MI","Model7",22592.0784346147,0.48444170930564,0.379169119661917,-0.335197894951844,0.0891699296481862,0.000173269887262104,-0.033042924877576,0.0224594144400099,0.141317825640718,-0.245877453646728,0.0506839473437182,1.27985180670828e-06,1,0.603585182842597
"Spokane, WA","Model1",21761.275789084,0.335807191725775,0.310336761465498,-0.765395033286897,0.0943803816904674,6.68737583550054e-16,NA,NA,NA,NA,NA,NA,0.000285906031343352,0.000269533174585767
