"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","weight_normalized"
"New Haven, CT","Model6",82493.0082688351,0.272076471945378,0.243572691106834,0.0787886888920153,0.0404641855211532,0.0515395839304041,NA,NA,NA,0.506660068465249
"Newark, OH","Model7",31230.362878034,0.170696132301803,0.168092144547985,-1.19958681744858,0.175250997939132,8.43755018531508e-12,-0.122570607549311,0.0355374738870416,0.000566558673891258,0.991140093196352
"Newport, OR","Model6",5974.62485526918,0.253951524315465,0.288452278937882,-1.552460031897,0.358504360606985,1.63323285582058e-05,NA,NA,NA,0.639747571276756
"Nice, CA","Model2",5333.90951165996,0.220476554464884,0.157956475521229,1.49008050716224,0.378719864874145,9.19679772135426e-05,0.875524196116033,0.278200481720578,0.00172134253789973,0.453584955981183
"North Windham, ME","Model2",8204.38786818827,0.296252942861314,0.303794308158216,-43.0420868881192,16.1758104967287,0.00788211642234204,0.822040980132979,0.158154723588878,2.31520355972662e-07,0.351523137010879
"Norwich--New London, CT","Model6",30573.6726669955,0.19708090896051,0.162368396859573,-0.366093792943211,0.0614988238320044,2.80868956244486e-09,NA,NA,NA,0.512806999003294
"Oak Harbor, WA","Model5",4639.61105213055,0.436487319683525,0.427593172912349,NA,NA,NA,-0.324531612445791,0.0546345082294271,4.23126622844965e-09,0.404866573132782
"Ogden--Layton, UT","Model3",26689.7658284037,0.296915147095437,0.255692165452997,NA,NA,NA,0.04948586630734,0.0260716242175737,0.0577411792497841,0.274832201430061
"Oklahoma City, OK","Model7",34558.5552100932,0.236868159540974,0.207594671631847,-0.68309093235435,0.0538014372237861,1.76909191649084e-36,0.0641368867019676,0.0103381713759596,5.86700721120586e-10,0.999967099582851
"Olympia--Lacey, WA","Model2",51792.2116652104,0.348883231310926,0.262695415506759,-0.435465160769877,0.0658994140026022,4.11605875842032e-11,-0.0926492804931812,0.0121252170415802,2.37570908980993e-14,0.653998440396077
"Oshkosh, WI","Model3",5789.6641617011,0.177080594112997,0.201362213734929,NA,NA,NA,0.0455392839953015,0.0182546130982604,0.0127591929018032,0.447903626378796
"Oxnard--San Buenaventura (Ventura), CA","Model6",15809.3800533907,0.325190323702507,0.25587587777224,-0.300244254279182,0.101479623108367,0.00311746414790779,NA,NA,NA,0.624423121418534
"Park City--Snyderville, UT","Model1",1523.00085723686,0.339521634235973,0.387195270673701,-1.20619892020026,0.430168283094275,0.00541212918621201,NA,NA,NA,0.446969269192822
"Peoria, IL","Model7",13869.1882824332,0.345464662794097,0.305256866192444,-0.511099809982905,0.116133525381936,1.1246036793149e-05,0.0520296451428794,0.0201595935020888,0.00991324076557114,0.423993307475264
"Petaluma, CA","Model2",10321.116824252,0.390232865500544,0.332388001580223,-1.22813811511257,0.263511857176616,3.38563096747018e-06,-0.212949701847408,0.0428882058031267,7.51652343148602e-07,0.606446121779712
"Phoenix West--Goodyear--Avondale, AZ","Model6",7015.5822503518,0.248915130134708,0.195791155198777,0.182568483217653,0.138240340283356,0.186861937039476,NA,NA,NA,0.400028870461256
"Pittsfield, MA","Model7",24048.8210016093,0.634368703532332,0.503563413252788,-0.66779097996784,0.10599754492015,3.29891693774179e-10,-0.0880401043653493,0.0242033337745532,0.00027876625300126,0.902907459764193
