NAME20,INTPTLAT20,INTPTLON20,Area,Building_Data_Present
"Appleton, WI",44.2504665,-88.4093984,289804643.8,FALSE
"Mount Vernon, IL",38.3153554,-88.9161073,33422032.28,FALSE
"Dubuque, IA--IL",42.5032721,-90.6998865,88720436.57,FALSE
"Seminole, OK",35.2379378,-96.6707365,13916140.03,FALSE
"Dixon, IL",41.8414138,-89.4809783,21192298.85,FALSE
"Cheraw, SC",34.6978945,-79.9139687,19166235.29,FALSE
"Nappanee, IN",41.445041,-85.9980689,11193916.35,FALSE
"Lawrence, KS",38.9595506,-95.2654681,78581521.55,FALSE
"Kendallville, IN",41.4433379,-85.2600778,14928433.11,FALSE
"Ottawa, KS",38.6075453,-95.2654891,16399804.59,FALSE
"Jacksonville, TX",31.961228,-95.2613017,27336168.79,FALSE
"Bonita Springs--Estero, FL",26.2361103,-81.7465893,683693536.6,FALSE
"Manchester, IA",42.489482,-91.4585786,9347979.529,FALSE
"St. Marys, OH",40.5475478,-84.394824,12516439.89,FALSE
"Pontiac, IL",40.8798746,-88.6373988,10909324.54,FALSE
"Valley--Lanett, AL--GA",32.8353585,-85.1800485,47234223.34,FALSE
"Piqua, OH",40.1512459,-84.2431879,24066034.51,FALSE
"Enterprise, AL",31.3292187,-85.8296479,61656408.93,FALSE
"McPherson, KS",38.3688128,-97.662389,22551154.73,FALSE
"Bloomington--Normal, IL",40.4937711,-88.9789912,131000161.8,FALSE
"Indiantown, FL",27.0240147,-80.4731893,3920309.145,FALSE
"Carlinville, IL",39.2794887,-89.8803482,7737212.285,FALSE
"Gillespie, IL",39.1315139,-89.8178967,7354738.101,FALSE
"Webster City, IA",42.4644858,-93.8250565,11352727.72,FALSE
"McGregor, TX",31.4370084,-97.4068248,6055642.635,FALSE
"Iowa Falls, IA",42.5170994,-93.2659239,10735108.88,FALSE
"Okeechobee--Taylor Creek, FL",27.2265458,-80.8219858,64150601.53,FALSE
"Maquoketa, IA",42.0602504,-90.6674034,9805351.856,FALSE
"New Lexington, OH",39.7166892,-82.2091028,5628865.327,FALSE
"Detroit Lakes, MN",46.782961,-95.8425445,49517225.08,FALSE
"Harvard, IL",42.4222787,-88.6122873,11301829.41,FALSE
"Woodstock, IL",42.3135897,-88.4413692,24100127.17,FALSE
"Birmingham, AL",33.475252,-86.784185,1328274702,FALSE
"Grenada, MS",33.7653556,-89.8084088,18444822,FALSE
