NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Massena, NY",+44.9337488,-074.8861138,16832282.74,,,,,,,,,,,,,,,,,,,,,,
"Warrensburg, MO",+38.7644246,-093.7302318,22001235.93,,,,,,,,,,,,,,,,,,,,,,
"Salem, MO",+37.6393310,-091.5360225,8161230.64,,,,,,,,,,,,,,,,,,,,,,
"Altus, OK",+34.6570606,-099.3090458,41085849.33,,,,,,,,,,,,,,,,,,,,,,
"Keystone Heights, FL",+29.7883677,-082.0317588,29708334.02,,,,,,,,,,,,,,,,,,,,,,
"Clarksdale, MS",+34.2002919,-090.5737996,19220432.01,,,,,,,,,,,,,,,,,,,,,,
"Winchester, TN",+35.1949177,-086.0924645,34014391.41,,,,,,,,,,,,,,,,,,,,,,
"Anderson, IN",+40.0862465,-085.6762230,135515898.1,,,,,,,,,,,,,,,,,,,,,,
"Larned, KS",+38.1831803,-099.1017706,5396214.149,,,,,,,,,,,,,,,,,,,,,,
"Great Bend, KS",+38.3659012,-098.7789574,16432851.2,,,,,,,,,,,,,,,,,,,,,,
"Atchison, KS",+39.5657982,-095.1328395,14062905.61,,,,,,,,,,,,,,,,,,,,,,
"Muncie, IN",+40.1981116,-085.4072443,125492604,,,,,,,,,,,,,,,,,,,,,,
"Arecibo, PR",+18.4543130,-066.8100618,195774171.9,,,,,,,,,,,,,,,,,,,,,,
"Fajardo, PR",+18.3362302,-065.6560063,89572894.77,,,,,,,,,,,,,,,,,,,,,,
"Coamo, PR",+18.0627866,-066.3789685,42144706.88,,,,,,,,,,,,,,,,,,,,,,
"Diamondhead, MS",+30.3943334,-089.3655061,13346862.13,,,,,,,,,,,,,,,,,,,,,,
"Columbia, MS",+31.2552517,-089.8196805,16373406.16,,,,,,,,,,,,,,,,,,,,,,
"Blytheville, AR",+35.9318930,-089.9174585,37636439.02,,,,,,,,,,,,,,,,,,,,,,
"Quincy, FL",+30.5809442,-084.5802405,15939645.99,,,,,,,,,,,,,,,,,,,,,,
"Crestview, FL",+30.7675349,-086.5603043,104994406,,,,,,,,,,,,,,,,,,,,,,
"DeFuniak Springs, FL",+30.7337433,-086.1303412,19260909.53,,,,,,,,,,,,,,,,,,,,,,
"Albany, GA",+31.5865053,-084.1723280,174157976.2,,,,,,,,,,,,,,,,,,,,,,
"Ashburn, GA",+31.6969051,-083.6471356,11108178.39,,,,,,,,,,,,,,,,,,,,,,
"Cushing, OK",+35.9610024,-096.7571943,24147183.12,,,,,,,,,,,,,,,,,,,,,,
"West Point, MS",+33.6083885,-088.6486179,17053025.13,,,,,,,,,,,,,,,,,,,,,,
"Fayetteville, TN",+35.1112640,-086.5718377,32205672.99,,,,,,,,,,,,,,,,,,,,,,
"Berlin, WI",+43.9706391,-088.9473678,8980985.062,,,,,,,,,,,,,,,,,,,,,,
"Cadillac, MI",+44.2511753,-085.4199526,33172162.81,,,,,,,,,,,,,,,,,,,,,,
"Anamosa, IA",+42.1100519,-091.2738602,6863773.152,,,,,,,,,,,,,,,,,,,,,,
"Greenville, AL",+31.8340255,-086.6271460,14521149.17,,,,,,,,,,,,,,,,,,,,,,
"Waterville, ME",+44.5514214,-069.6541625,47049680.79,,,,,,,,,,,,,,,,,,,,,,
"Dansville, NY",+42.5639462,-077.7031753,8275503.936,,,,,,,,,,,,,,,,,,,,,,
"Stephenville, TX",+32.2190189,-098.2189288,24232491.41,,,,,,,,,,,,,,,,,,,,,,
"Napoleon, OH",+41.3950945,-084.1260902,16698571.84,,,,,,,,,,,,,,,,,,,,,,
"Sikeston, MO",+36.8853828,-089.5707144,34089457.21,,,,,,,,,,,,,,,,,,,,,,
"Marion, VA",+36.8420915,-081.5019607,18640455.63,,,,,,,,,,,,,,,,,,,,,,
"Jonesboro, AR",+35.8229036,-090.6864275,120781677.4,,,,,,,,,,,,,,,,,,,,,,
"Plymouth, NH",+43.7589951,-071.6894381,15751850.02,,,,,,,,,,,,,,,,,,,,,,
"Little Falls, MN",+45.9798003,-094.3591475,20309502.84,,,,,,,,,,,,,,,,,,,,,,
"Ishpeming, MI",+46.4973170,-087.6634526,15316752.88,,,,,,,,,,,,,,,,,,,,,,
"Somerset, PA",+40.0122838,-079.0762710,17897699.77,,,,,,,,,,,,,,,,,,,,,,
"Ste. Genevieve, MO",+37.9702572,-090.0508495,8131028.714,,,,,,,,,,,,,,,,,,,,,,
"Johnstown, OH",+40.1510283,-082.6846058,7410520.779,,,,,,,,,,,,,,,,,,,,,,
"Marshall, MO",+39.1138755,-093.1990586,17836529.92,,,,,,,,,,,,,,,,,,,,,,
"Franklin (Venango County), PA",+41.3941197,-079.8334732,14638533.58,,,,,,,,,,,,,,,,,,,,,,
